EvtID,StaNM,TTime,Angle,Delta
2027,PGC,4.50474663520153,142.342922513757,14.6037726233068
2028,PGC,16.4437235911086,110.594879760069,95.7716364936411
2029,PGC,11.9652915533359,111.169350211898,67.7973448502937
2030,PGC,5.39748390702458,95.3688203479336,27.6223971407207
2031,PGC,13.8793455091121,96.6185650856745,84.4564986011527
2032,PGC,5.88780165439004,54.9031987724154,28.2578935735478
2033,PGC,5.82553885857035,132.39873572746,23.9223627378359
2034,PGC,15.1307838575613,97.9806605673583,92.5994198466252
2035,PGC,11.1178414278724,41.8103148957786,60.5933157417433
2036,PGC,10.1969388215137,92.0017288717437,60.0590854435685
2037,PGC,10.2631190054179,91.7118719392736,60.513425713534
2038,PGC,10.251587024908,90.0709598688796,60.457281064271
2039,PGC,11.3505834184433,92.4302165443399,67.8252367455383
2040,PGC,5.27572280914733,142.342988273598,17.7830782811476
2041,PGC,12.5390961572582,41.8103148957786,68.2749470443353
2042,PGC,16.2517657718221,101.937139691975,99.0143295717534
2043,PGC,9.8529178546661,124.283651128127,48.1601843008243
2044,PGC,20.5300138859141,54.5690553126642,129.836600726966
2045,PGC,15.9750260791672,98.9627524055455,95.1312969225714
2046,PGC,14.3219508993473,103.898549361359,85.6723884552634
2047,PGC,6.94698491815533,112.895920613643,35.856474483039
2048,PGC,20.5563913306354,54.5690553126642,130.014648478835
2049,PGC,10.270896349104,143.117736537643,36.3606403679445
2050,PGC,10.6905475656478,102.612280574011,62.1542265586344
2051,PGC,12.0252358220349,41.8103148957786,64.8063897815778
2052,PGC,17.1238316916866,41.8103148957786,99.2219119017269
2053,PGC,15.4768078302902,92.7266880830178,91.6868773705937
2054,PGC,15.5738423347229,105.655681280314,91.8366396637726
2055,PGC,10.8200421903317,106.374345147553,62.1048693076503
2056,PGC,7.58884379499536,166.907651204204,9.44560196924591
2057,PGC,3.76644841318761,137.775509660718,12.5923325366965
2058,PGC,3.83117547103957,141.549386898061,12.0183415577309
2059,PGC,12.6268293353725,99.8089131782162,75.5379502371998
2060,PGC,3.68149580493536,130.419305137242,13.5715185571132
2061,PGC,5.44649259847966,54.9031987724154,26.6809950924415
2062,PGC,5.55530865379658,54.9031987724154,25.635099013397
2063,PGC,5.80289621662422,54.9031987724154,26.9968306089491
2064,PGC,6.21789017958063,54.9031987724154,29.2792974052093
2065,PGC,5.49588386269369,90.8411339761212,28.3545416130873
2066,PGC,14.6402013446039,92.5538225324722,90.0028793043215
2067,PGC,17.8203358863574,91.2935278794683,109.870237320423
2068,PGC,13.8863457156756,97.6330124448914,84.341584547203
2069,PGC,4.53601885387451,148.595411385688,12.6779522447932
2070,PGC,14.2381567975171,98.1981230456387,86.5918131340188
2071,PGC,14.2503058291056,98.401519120414,86.6338410297485
2072,PGC,10.5023602702213,135.159872498475,43.1998231645237
2073,PGC,17.2779296128729,102.235190922843,105.684688411007
2074,PGC,11.5630991226604,101.002191140804,68.2417688037641
2075,PGC,13.0980034078791,54.5690553126642,76.2127557913875
2076,PGC,14.1242088907558,41.8103148957786,82.026690784731
2077,PGC,5.54856452931404,127.006740101316,24.1614906034051
2078,PGC,5.41606291725989,103.14975839011,27.373032833838
2079,PGC,13.768822119766,99.2286320551437,83.2566614457612
2080,PGC,15.0296245938897,101.969988525706,90.9334918973823
2081,PGC,5.78661609494125,134.433379688876,23.0118740489382
2082,PGC,18.1520057973585,41.8103148957786,106.162087115013
2083,PGC,11.8398588845877,97.425600550213,70.6786393198604
2084,PGC,9.18524899635576,41.8103148957786,45.6364787082438
2085,PGC,5.0170307060342,142.975694556429,16.4903124472835
